Produto;Codigo_do_produto;Descricao_do_produto;Tamanho;Codigo_do_tamanho;Quantidade_de_vendas;Valor_do_pedido;Negocio;Genero;Cor;Codigo_da_cor;Data_da_venda
Mocassim;PRD9287;Mocassim Lite;41;TAM41;80;R$ 174,18;Social;Feminino;Preto;CORPRE;25/06/2024
Chuteira;PRD1969;Chuteira Runner;39;TAM39;23;R$ 634,25;Aventura;Feminino;Bege;CORBEG;21/08/2024
Chinelo;PRD3568;Chinelo Urban;41;TAM41;19;R$ 431,89;Esportivo;Feminino;Vermelho;CORVER;03/06/2024
Bota;PRD2451;Bota Urban;34;TAM34;28;R$ 767,68;Aventura;Infantil;Cinza;CORCIN;13/12/2024
Sapatênis;PRD9550;Sapatênis Runner;35;TAM35;69;R$ 654,84;Aventura;Masculino;Amarelo;CORAMA;11/06/2024
Mocassim;PRD4904;Mocassim Lite;39;TAM39;37;R$ 538,35;Aventura;Feminino;Rosa;CORROS;22/10/2024
Mocassim;PRD4733;Mocassim Runner;43;TAM43;55;R$ 457,98;Infantil;Unissex;Bege;CORBEG;08/07/2024
Chuteira;PRD9718;Chuteira Max;35;TAM35;8;R$ 191,92;Social;Masculino;Azul;CORAZU;18/07/2024
Bota;PRD6720;Bota Comfort;34;TAM34;90;R$ 788,39;Social;Unissex;Azul;CORAZU;13/05/2024
Bota;PRD3855;Bota Max;37;TAM37;58;R$ 629,10;Aventura;Masculino;Cinza;CORCIN;05/03/2024
Tênis;PRD2720;Tênis Runner;35;TAM35;31;R$ 233,02;Casual;Masculino;Bege;CORBEG;04/11/2024
Chuteira;PRD6188;Chuteira Runner;40;TAM40;51;R$ 161,47;Social;Feminino;Rosa;CORROS;28/04/2024
Sandália;PRD5960;Sandália Runner;34;TAM34;25;R$ 552,97;Social;Masculino;Amarelo;CORAMA;20/01/2025
Papete;PRD1937;Papete Comfort;34;TAM34;43;R$ 616,70;Esportivo;Unissex;Verde;CORVER;08/04/2024
Sapatênis;PRD7310;Sapatênis Max;40;TAM40;42;R$ 603,27;Esportivo;Masculino;Marrom;CORMAR;10/01/2024
Papete;PRD2327;Papete Pro;43;TAM43;10;R$ 434,69;Infantil;Feminino;Bege;CORBEG;14/12/2024
Sapato;PRD7420;Sapato Pro;43;TAM43;72;R$ 400,44;Esportivo;Masculino;Verde;CORVER;23/04/2024
Papete;PRD5244;Papete Urban;35;TAM35;40;R$ 272,09;Casual;Feminino;Rosa;CORROS;28/09/2024
Sandália;PRD3566;Sandália Urban;42;TAM42;33;R$ 120,82;Infantil;Feminino;Bege;CORBEG;07/05/2024
Bota;PRD2222;Bota Lite;40;TAM40;57;R$ 672,78;Casual;Unissex;Azul;CORAZU;05/05/2024
Sandália;PRD8766;Sandália Flex;38;TAM38;21;R$ 560,01;Esportivo;Infantil;Marrom;CORMAR;06/12/2024
Tênis;PRD5498;Tênis Max;41;TAM41;94;R$ 535,22;Social;Masculino;Branco;CORBRA;14/12/2024
Tênis;PRD2414;Tênis Pro;34;TAM34;48;R$ 626,46;Casual;Feminino;Rosa;CORROS;25/01/2024
Tênis;PRD2677;Tênis Max;34;TAM34;72;R$ 127,14;Esportivo;Feminino;Amarelo;CORAMA;20/02/2024
Chinelo;PRD5007;Chinelo Max;41;TAM41;92;R$ 259,87;Aventura;Feminino;Bege;CORBEG;13/11/2024
Sapato;PRD4164;Sapato Max;39;TAM39;96;R$ 751,98;Social;Feminino;Cinza;CORCIN;15/01/2025
Chinelo;PRD2546;Chinelo Urban;37;TAM37;42;R$ 614,99;Social;Feminino;Amarelo;CORAMA;01/01/2025
Sapatênis;PRD9908;Sapatênis Flex;35;TAM35;2;R$ 755,52;Infantil;Masculino;Cinza;CORCIN;15/05/2024
Chinelo;PRD6436;Chinelo Pro;41;TAM41;74;R$ 616,90;Aventura;Masculino;Amarelo;CORAMA;11/06/2024
Chuteira;PRD2397;Chuteira Urban;43;TAM43;58;R$ 194,62;Casual;Unissex;Rosa;CORROS;18/01/2025
Chuteira;PRD6742;Chuteira Urban;36;TAM36;51;R$ 266,58;Casual;Masculino;Preto;CORPRE;19/11/2024
Bota;PRD5365;Bota Comfort;42;TAM42;56;R$ 213,67;Esportivo;Unissex;Vermelho;CORVER;28/02/2024
Sapatênis;PRD7569;Sapatênis Comfort;43;TAM43;55;R$ 307,75;Social;Unissex;Preto;CORPRE;08/06/2024
Papete;PRD7594;Papete Pro;38;TAM38;29;R$ 260,80;Esportivo;Unissex;Cinza;CORCIN;29/11/2024
Papete;PRD2618;Papete Urban;36;TAM36;27;R$ 664,75;Aventura;Infantil;Verde;CORVER;01/01/2025
Tênis;PRD5252;Tênis Lite;42;TAM42;24;R$ 352,35;Esportivo;Masculino;Amarelo;CORAMA;25/10/2024
Chinelo;PRD7973;Chinelo Runner;41;TAM41;50;R$ 436,39;Infantil;Masculino;Vermelho;CORVER;14/10/2024
Mocassim;PRD6484;Mocassim Urban;44;TAM44;64;R$ 474,13;Esportivo;Unissex;Vermelho;CORVER;09/07/2024
Chinelo;PRD1198;Chinelo Pro;39;TAM39;18;R$ 588,90;Aventura;Masculino;Marrom;CORMAR;30/08/2024
Bota;PRD2962;Bota Max;42;TAM42;56;R$ 433,73;Casual;Unissex;Bege;CORBEG;28/11/2024
Papete;PRD9980;Papete Comfort;41;TAM41;4;R$ 177,93;Casual;Feminino;Cinza;CORCIN;20/04/2024
Sapatênis;PRD3349;Sapatênis Runner;34;TAM34;54;R$ 243,72;Social;Feminino;Preto;CORPRE;01/08/2024
Chuteira;PRD2835;Chuteira Lite;35;TAM35;66;R$ 309,36;Aventura;Infantil;Bege;CORBEG;02/04/2024
Crocs;PRD8550;Crocs Flex;38;TAM38;55;R$ 571,61;Esportivo;Unissex;Bege;CORBEG;19/05/2024
Sandália;PRD7098;Sandália Runner;38;TAM38;18;R$ 278,75;Aventura;Unissex;Branco;CORBRA;20/05/2024
Mocassim;PRD8434;Mocassim Pro;35;TAM35;24;R$ 580,48;Infantil;Unissex;Azul;CORAZU;16/01/2025
Chinelo;PRD9692;Chinelo Urban;36;TAM36;83;R$ 690,29;Aventura;Masculino;Preto;CORPRE;27/03/2024
Mocassim;PRD8401;Mocassim Pro;35;TAM35;44;R$ 581,07;Infantil;Feminino;Marrom;CORMAR;26/11/2024
Sapato;PRD6468;Sapato Lite;37;TAM37;25;R$ 675,45;Aventura;Infantil;Verde;CORVER;26/02/2024
Chinelo;PRD5462;Chinelo Max;35;TAM35;57;R$ 181,44;Aventura;Unissex;Bege;CORBEG;12/11/2024
Bota;PRD5303;Bota Urban;36;TAM36;75;R$ 390,78;Aventura;Masculino;Branco;CORBRA;04/03/2024
Bota;PRD8470;Bota Urban;35;TAM35;2;R$ 702,26;Esportivo;Masculino;Cinza;CORCIN;15/05/2024
Chuteira;PRD6500;Chuteira Comfort;38;TAM38;69;R$ 283,79;Social;Feminino;Bege;CORBEG;07/12/2024
Bota;PRD5151;Bota Flex;36;TAM36;30;R$ 474,66;Aventura;Masculino;Cinza;CORCIN;17/04/2024
Mocassim;PRD8755;Mocassim Lite;40;TAM40;98;R$ 435,15;Social;Infantil;Cinza;CORCIN;05/03/2024
Crocs;PRD2637;Crocs Urban;40;TAM40;91;R$ 613,14;Casual;Unissex;Vermelho;CORVER;14/01/2024
Sapatênis;PRD8188;Sapatênis Flex;44;TAM44;29;R$ 334,38;Infantil;Unissex;Branco;CORBRA;17/11/2024
Papete;PRD3387;Papete Pro;40;TAM40;60;R$ 482,88;Casual;Infantil;Vermelho;CORVER;01/04/2024
Sandália;PRD2605;Sandália Urban;44;TAM44;60;R$ 154,44;Infantil;Infantil;Rosa;CORROS;18/01/2024
Sandália;PRD7197;Sandália Comfort;34;TAM34;23;R$ 361,72;Esportivo;Masculino;Vermelho;CORVER;02/11/2024
Chuteira;PRD5566;Chuteira Flex;44;TAM44;55;R$ 561,42;Infantil;Masculino;Cinza;CORCIN;01/12/2024
Chuteira;PRD3715;Chuteira Lite;39;TAM39;60;R$ 656,72;Aventura;Infantil;Azul;CORAZU;02/10/2024
Chuteira;PRD1765;Chuteira Urban;44;TAM44;26;R$ 679,19;Casual;Masculino;Marrom;CORMAR;24/06/2024
Papete;PRD3877;Papete Urban;34;TAM34;76;R$ 434,45;Social;Feminino;Preto;CORPRE;02/10/2024
Sapatênis;PRD8505;Sapatênis Urban;36;TAM36;85;R$ 735,29;Social;Feminino;Cinza;CORCIN;29/09/2024
Sapato;PRD5471;Sapato Pro;39;TAM39;17;R$ 646,40;Casual;Feminino;Preto;CORPRE;02/06/2024
